word,pos_tag,spoken_frequency_zipf,log_phonotactic_probability,lexical_competition_risk,phonetic_instability,cluster_label
engineer,NOUN,4.5,-4.924498424376668,0.0,1,0
equivalent,NOUN,4.5,-4.7317883870258575,0.0,3,1
facing,VERB,4.5,-5.033305839942239,4.5,0,0
fairly,ADV,4.5,-5.668170187123907,4.49,0,0
fingers,NOUN,4.5,-5.321639219059425,4.48,1,0
ford,NOUN,4.5,-5.514438135426961,34.96,1,0
founded,VERB,4.5,-5.421674408152113,0.0,2,1
functions,NOUN,4.5,-5.049598080515497,4.78,3,1
gang,NOUN,4.5,-7.065989284247031,14.079999999999998,0,3
graduate,NOUN,4.5,-6.039155915175018,0.0,3,1
greek,NOUN,4.5,-5.33438609243647,5.13,1,0
hanging,VERB,4.5,-5.404131318325818,0.0,0,0
inner,NOUN,4.5,-4.346489621095388,23.590000000000003,0,0
islands,NOUN,4.5,-4.729160949780526,5.01,2,1
le,NOUN,4.5,-4.982464833796313,30.05,1,0
lift,NOUN,4.5,-5.795887895191647,20.25,1,0
marked,NOUN,4.5,-5.742778013163196,14.83,1,0
memories,NOUN,4.5,-6.269301904844839,4.81,1,3
miller,NOUN,4.5,-5.788089511671753,13.599999999999998,0,0
monthly,ADV,4.5,-4.798786488956634,0.0,1,0
mountains,NOUN,4.5,-4.744493174717499,4.73,2,1
neighborhood,NOUN,4.5,-7.338030631599036,0.0,1,3
operate,NOUN,4.5,-5.96103233998778,0.0,1,0
outstanding,ADJ,4.5,-4.869926408908649,0.0,1,0
permission,NOUN,4.5,-4.90189973032622,0.0,1,0
porn,NOUN,4.5,-5.756838374151445,9.82,0,0
racing,VERB,4.5,-4.903919946637656,4.5,0,0
recommended,VERB,4.5,-5.147285258701089,0.0,3,1
regulations,NOUN,4.5,-4.893636565928597,0.0,3,1
reply,NOUN,4.5,-5.498320729170731,0.0,0,0
republicans,NOUN,4.5,-4.894631173104074,4.7,2,1
rid,ADJ,4.5,-4.985638825235853,45.09,1,0
roman,NOUN,4.5,-4.677142133375579,0.0,1,0
scientists,NOUN,4.5,-4.843121584307672,0.0,2,1
shoulder,NOUN,4.5,-6.396297854844041,4.92,0,3
shower,NOUN,4.5,-8.811564252018815,15.2,0,3
solutions,NOUN,4.5,-4.679444479664778,4.84,3,1
sons,NOUN,4.5,-4.364586796566891,38.57,1,0
stations,NOUN,4.5,-4.618385119863612,5.01,2,1
stephen,NOUN,4.5,-4.637877278899962,0.0,1,0
tower,NOUN,4.5,-8.44143657901699,20.44,0,3
tradition,NOUN,4.5,-4.6842328740377726,0.0,2,1
visited,VERB,4.5,-5.34951803364668,0.0,3,1
visual,ADJ,4.5,-5.602874356224662,0.0,2,1
wheel,NOUN,4.5,-6.912878379680907,42.36,0,3
zealand,NOUN,4.5,-4.751907248049798,0.0,2,1
achieved,VERB,4.49,-7.587473039230422,4.57,2,3
admitted,VERB,4.49,-5.49246052392879,0.0,3,1
appointment,NOUN,4.49,-4.927206326278654,0.0,4,1
authors,NOUN,4.49,-6.298691040194152,9.69,1,3
barely,ADV,4.49,-5.670192971662646,4.5,0,0
bush,NOUN,4.49,-8.160953342117452,10.25,0,3
cabinet,NOUN,4.49,-5.66992322387519,0.0,3,1
celebrate,NOUN,4.49,-5.490900190530851,0.0,2,1
challenges,NOUN,4.49,-5.08164269338242,0.0,2,1
chocolate,NOUN,4.49,-5.655801208985537,0.0,2,1
coal,NOUN,4.49,-6.528962742289808,70.55000000000001,0,4
contemporary,ADJ,4.49,-4.935983862500515,0.0,1,0
criticism,NOUN,4.49,-5.094492015883543,0.0,1,0
davis,NOUN,4.49,-5.739153726501931,0.0,2,1
effectively,ADV,4.49,-5.554565373510287,0.0,0,0
eric,NOUN,4.49,-4.981108045750589,0.0,1,0
extensive,ADJ,4.49,-5.034079473803359,4.69,2,1
faced,VERB,4.49,-5.051813602088617,31.74,1,0
filed,VERB,4.49,-6.450311444781747,44.46,1,3
formation,NOUN,4.49,-4.946514672766647,0.0,1,0
fought,NOUN,4.49,-6.915999166638031,49.42,1,4
gained,VERB,4.49,-5.701754532321964,4.81,1,0
gallery,NOUN,4.49,-6.561912794857945,0.0,0,3
highway,NOUN,4.49,-7.374484275694216,0.0,0,3
historic,NOUN,4.49,-4.963123089025952,0.0,1,0
hunt,NOUN,4.49,-4.366459631649375,0.0,1,0
improvement,NOUN,4.49,-5.051490101654853,0.0,3,1
inch,NOUN,4.49,-4.381858648784301,4.5,0,0
initially,ADV,4.49,-4.556538129555124,4.72,1,0
junior,NOUN,4.49,-6.992398553051242,0.0,0,3
jury,NOUN,4.49,-5.569346865958275,0.0,0,0
kong,NOUN,4.49,-7.101777016724328,36.4,0,3
korean,NOUN,4.49,-4.500969642838319,4.65,1,0
marks,NOUN,4.49,-5.595602736742609,9.55,1,0
monster,NOUN,4.49,-5.0451397861246345,0.0,1,0
obtained,VERB,4.49,-5.755201040047731,0.0,2,1
olympic,NOUN,4.49,-5.498635901803651,0.0,1,0
philosophy,NOUN,4.49,-5.400686804386874,0.0,2,1
pride,NOUN,4.49,-5.819304443451936,34.27,1,0
promised,VERB,4.49,-5.0368042334208525,4.71,2,1
repeat,NOUN,4.49,-5.635242905895407,0.0,1,0
returning,VERB,4.49,-5.019353184715978,0.0,0,0
riding,VERB,4.49,-5.006285269188585,14.73,0,0
rough,NOUN,4.49,-5.103591396915343,19.29,1,0
santa,NOUN,4.49,-5.015134399911433,0.0,1,0
settlement,NOUN,4.49,-4.668837619965602,0.0,3,1
smell,NOUN,4.49,-6.271490667957738,20.0,0,3
sought,NOUN,4.49,-7.446329011950853,69.37,1,4
speaker,NOUN,4.49,-6.166937608473102,5.03,0,3
studied,VERB,4.49,-5.103591396915343,10.24,1,0
suggests,NOUN,4.49,-5.342388383429892,4.75,2,1
surrounding,VERB,4.49,-5.168233409506758,0.0,0,0
tone,NOUN,4.49,-6.71022496390223,54.51,0,4
topic,NOUN,4.49,-5.787838223820199,0.0,1,0
toronto,NOUN,4.49,-5.437105982758826,0.0,0,0
universal,NOUN,4.49,-5.282979593858087,0.0,2,1
vast,NOUN,4.49,-5.122158091001732,26.06,1,0
visitors,NOUN,4.49,-5.531273908147062,0.0,2,1
wanting,VERB,4.49,-4.784051666634882,0.0,0,0
auto,NOUN,4.48,-7.071451371652927,0.0,0,3
consistent,NOUN,4.48,-4.34426852907128,0.0,3,1
continuing,VERB,4.48,-4.491574572023998,0.0,1,0
earn,NOUN,4.48,-6.819131036692627,38.9,0,3
exists,NOUN,4.48,-5.127813700078006,4.73,1,0
finger,NOUN,4.48,-5.33546071891014,4.5,0,0
grey,NOUN,4.48,-5.686076160737387,34.42,0,0
guitar,NOUN,4.48,-5.860562608469563,0.0,0,0
heading,VERB,4.48,-5.040115599418764,9.97,0,0
ignore,NOUN,4.48,-6.055047791334533,0.0,0,0
involving,VERB,4.48,-5.0471104996072,0.0,0,0
latin,NOUN,4.48,-4.609122988026713,0.0,1,0
lewis,NOUN,4.48,-5.569074149888103,4.46,1,0
meal,NOUN,4.48,-6.753173263621997,50.72,0,4
meanwhile,ADV,4.48,-6.95201024273731,0.0,0,3
meetings,NOUN,4.48,-5.10574024496148,5.15,1,0
naturally,ADV,4.48,-5.11094359371757,5.11,1,0
necessarily,ADV,4.48,-4.968479948883244,0.0,2,1
offices,NOUN,4.48,-5.437248454178612,4.87,3,1
pants,NOUN,4.48,-5.061075268454396,9.94,1,0
partnership,NOUN,4.48,-6.207711931734351,0.0,2,1
payments,NOUN,4.48,-4.751594623576397,9.57,2,1
percentage,NOUN,4.48,-5.236092144023683,0.0,1,0
pocket,NOUN,4.48,-5.341114226498632,0.0,2,1
practical,ADJ,4.48,-4.86478323851228,0.0,2,1
primarily,ADV,4.48,-5.093613180194515,0.0,1,0
proved,VERB,4.48,-6.274230722406164,9.41,1,3
rape,NOUN,4.48,-6.096585091561201,29.09,1,3
regardless,ADV,4.48,-5.346310848153316,0.0,4,1
relative,NOUN,4.48,-5.13561025475766,0.0,2,1
represents,VERB,4.48,-5.247059772797747,4.58,2,1
rescue,NOUN,4.48,-5.725071486074142,0.0,1,0
resulting,VERB,4.48,-4.738318794740851,0.0,0,0
rush,NOUN,4.48,-5.287345775180739,14.91,0,0
sarah,NOUN,4.48,-5.1661458982015045,4.67,1,0
sessions,NOUN,4.48,-4.76166026674778,4.72,2,1
sharp,ADJ,4.48,-6.153338978456961,4.88,1,0
simon,NOUN,4.48,-4.719126428167724,0.0,1,0
soccer,NOUN,4.48,-6.592207584482535,0.0,0,3
stable,ADJ,4.48,-4.854324092734532,5.05,1,0
structures,NOUN,4.48,-5.149525016965464,4.84,2,1
supplies,NOUN,4.48,-5.694532388917426,4.81,2,1
symptoms,NOUN,4.48,-5.493160188215663,0.0,3,1
temporary,ADJ,4.48,-5.592801185185415,0.0,0,0
tested,VERB,4.48,-4.904715684760431,4.64,2,1
trick,NOUN,4.48,-4.896208551160965,14.56,1,0
attended,VERB,4.47,-5.201767954908761,0.0,3,1
audio,NOUN,4.47,-6.739963773972508,0.0,0,3
bone,NOUN,4.47,-6.894325858670476,52.59,0,4
brian,NOUN,4.47,-4.824215894938786,0.0,1,0
bullshit,NOUN,4.47,-6.701342916663623,0.0,1,3
chamber,NOUN,4.47,-7.011151059330376,0.0,0,3
chart,NOUN,4.47,-5.803747571797119,21.4,1,0
circuit,NOUN,4.47,-5.373881783418027,4.55,2,1
clothing,NOUN,4.47,-5.52346793056551,4.46,0,0
complicated,VERB,4.47,-5.486972538403674,0.0,4,1
confused,VERB,4.47,-5.104103471429257,0.0,3,1
consequences,NOUN,4.47,-5.435356618810115,0.0,3,1
defend,NOUN,4.47,-5.323038429543117,13.999999999999998,1,0
divided,VERB,4.47,-5.641202119474795,0.0,2,1
elizabeth,NOUN,4.47,-5.711895294766752,0.0,3,1
everyday,NOUN,4.47,-5.916108496984835,0.0,0,0
extent,NOUN,4.47,-4.830774261911761,0.0,2,1
fishing,NOUN,4.47,-5.255466711152441,0.0,0,0
format,NOUN,4.47,-5.82777210644386,0.0,1,0
gap,NOUN,4.47,-7.000879848972612,23.64,1,3
gate,NOUN,4.47,-5.684706581955885,74.48,1,4
gotten,NOUN,4.47,-4.709260397712598,4.95,1,0
harm,NOUN,4.47,-5.873720623327569,20.32,0,0
healthcare,NOUN,4.47,-6.507235713266987,0.0,1,3
household,NOUN,4.47,-6.96957749262548,0.0,1,3
immigration,NOUN,4.47,-4.958920838409577,0.0,2,1
impressive,ADJ,4.47,-5.520141788296349,0.0,2,1
jews,NOUN,4.47,-7.251217891448735,25.31,1,3
joining,VERB,4.47,-5.267885159427835,0.0,0,0
killer,NOUN,4.47,-6.020477378418783,19.72,0,0
lesson,NOUN,4.47,-4.622219706562882,5.06,1,0
limits,NOUN,4.47,-5.338945629835399,4.7,2,1
loving,VERB,4.47,-5.062545094273927,10.28,0,0
managers,NOUN,4.47,-5.6557411622348335,4.97,2,1
membership,NOUN,4.47,-6.526692159033049,0.0,1,3
miami,NOUN,4.47,-6.926234981729007,0.0,0,3
mirror,NOUN,4.47,-6.215578569176637,4.5,0,3
mount,NOUN,4.47,-5.499900033285162,14.9,1,0
nights,NOUN,4.47,-5.832281977072932,30.39,1,0
occur,NOUN,4.47,-5.864930579457748,4.57,1,0
parking,NOUN,4.47,-5.2456717869104725,0.0,0,0
proposal,NOUN,4.47,-5.172642001860808,0.0,2,1
province,NOUN,4.47,-5.032433150538955,0.0,2,1
purchased,VERB,4.47,-5.188329971424834,4.71,2,1
recognition,NOUN,4.47,-5.128657295802752,0.0,2,1
reputation,NOUN,4.47,-5.005050915802356,0.0,2,1
rolling,VERB,4.47,-4.9997012887936325,0.0,0,0
shortly,ADV,4.47,-5.573206946297339,0.0,1,0
situations,NOUN,4.47,-5.088945004277768,5.09,2,1
strongly,ADV,4.47,-5.3265872198413,0.0,1,0
tears,NOUN,4.47,-5.065820890514946,9.38,1,0
technique,NOUN,4.47,-6.18991548583182,4.51,1,0
thin,NOUN,4.47,-4.413515650579825,15.57,0,0
tied,VERB,4.47,-6.5723979493531,60.31,1,4
z,NOUN,4.47,-7.576814908013022,66.63000000000001,0,4
accused,VERB,4.46,-6.173989324549853,0.0,2,1
adventure,NOUN,4.46,-6.026246486210971,0.0,0,0
argue,NOUN,4.46,-6.037018553289809,0.0,1,0
assessment,NOUN,4.46,-4.744059908857301,0.0,3,1
atmosphere,ADV,4.46,-5.733998412764231,0.0,1,0
awful,NOUN,4.46,-4.992931927530351,0.0,1,0
bedroom,NOUN,4.46,-6.585584827071783,0.0,0,3
belief,NOUN,4.46,-5.730988217514692,10.06,1,0
bound,NOUN,4.46,-5.766374092241028,25.48,1,0
breaks,NOUN,4.46,-5.712497339012497,5.18,1,0
carefully,ADV,4.46,-5.205816583952472,4.59,1,0
cats,NOUN,4.46,-5.644270000458493,4.78,1,0
choices,NOUN,4.46,-5.9931619869441874,0.0,2,1
closing,NOUN,4.46,-5.382151251661583,4.47,0,0
cloud,NOUN,4.46,-6.872619822213882,14.260000000000002,1,3
colorado,NOUN,4.46,-6.453265113659152,0.0,0,3
colors,NOUN,4.46,-4.792458054518439,9.42,1,0
contrast,NOUN,4.46,-4.556241936114834,0.0,2,1
courses,NOUN,4.46,-5.48487588660737,4.84,2,1
courts,NOUN,4.46,-5.397938826579617,10.85,1,0
donald,NOUN,4.46,-5.078263383037018,0.0,2,1
drew,NOUN,4.46,-6.471153326370432,34.15,0,3
egg,NOUN,4.46,-7.552855428570596,57.76,1,4
element,NOUN,4.46,-4.603968907811728,4.7,3,1
elsewhere,ADV,4.46,-6.246289702213466,0.0,1,0
establish,VERB,4.46,-5.477018285767878,4.9,0,0
extension,NOUN,4.46,-4.698595543187059,0.0,2,1
files,NOUN,4.46,-6.408623765569434,23.770000000000003,1,3
founder,NOUN,4.46,-5.838475684786527,5.68,0,0
gear,NOUN,4.46,-6.606266459830596,26.09,0,3
georgia,NOUN,4.46,-6.009461525569641,5.04,1,0
hills,NOUN,4.46,-6.07385968624666,9.34,1,0
hip,NOUN,4.46,-6.617813262129512,25.110000000000003,1,3
hitting,VERB,4.46,-4.839695767548112,4.86,0,0
increases,NOUN,4.46,-4.944521763936826,0.0,3,1
infrastructure,NOUN,4.46,-4.907102647974564,0.0,2,1
jason,NOUN,4.46,-4.656100388406773,0.0,1,0
locations,NOUN,4.46,-5.002781714345584,4.86,2,1
loose,ADJ,4.46,-6.821972155987715,30.750000000000004,1,3
machines,NOUN,4.46,-5.871734962762914,4.9,2,1
moral,ADJ,4.46,-4.737293427665548,0.0,1,0
offensive,ADJ,4.46,-5.483081904993131,0.0,2,1
pa,NOUN,4.46,-6.381974049892574,43.400000000000006,0,3
package,NOUN,4.46,-6.228347047032794,0.0,1,0
pointed,VERB,4.46,-5.212422279044412,4.59,2,1
poverty,NOUN,4.46,-6.224108080697505,0.0,0,3
processes,NOUN,4.46,-5.706279589854816,0.0,2,1
processing,NOUN,4.46,-5.271116682288341,0.0,0,0
qualified,VERB,4.46,-5.983258310560883,0.0,2,1
railway,NOUN,4.46,-6.430372691336498,0.0,0,3
reaching,VERB,4.46,-4.994418499986928,4.72,0,0
ridiculous,ADJ,4.46,-4.844679427638622,0.0,3,1
sensitive,ADJ,4.46,-5.177032912462398,0.0,2,1
server,NOUN,4.46,-6.348888342794779,9.66,0,3
shock,NOUN,4.46,-6.960808015016618,19.64,1,3
silence,NOUN,4.46,-4.76631711593137,5.12,2,1
soldier,NOUN,4.46,-7.200034569131209,9.23,0,3
superior,ADJ,4.46,-5.906821973519123,0.0,0,0
supporters,NOUN,4.46,-5.391395838465952,0.0,2,1
thick,NOUN,4.46,-5.5269735847274735,40.24,1,0
threw,NOUN,4.46,-6.905108784041231,24.08,0,3
tons,NOUN,4.46,-4.319106672696775,23.83,1,0
transition,NOUN,4.46,-4.870482993138315,0.0,1,0
violent,NOUN,4.46,-4.69130340321835,4.75,3,1
voters,NOUN,4.46,-5.714614934470742,0.0,1,0
wash,NOUN,4.46,-7.555814377726157,10.52,0,3
acid,NOUN,4.45,-5.408511768855748,5.16,2,1
actress,NOUN,4.45,-5.022551005044218,0.0,3,1
administrative,ADJ,4.45,-4.863123891287244,0.0,4,1
alan,NOUN,4.45,-4.419685304452389,0.0,1,0
alongside,ADV,4.45,-5.591296108285924,0.0,2,1
angel,NOUN,4.45,-5.163746264608613,0.0,1,0
anxiety,NOUN,4.45,-6.024748358589949,0.0,1,0
babies,NOUN,4.45,-6.675176380881442,5.26,1,3
