word,pos_tag,spoken_frequency_zipf,log_phonotactic_probability,lexical_competition_risk,phonetic_instability,cluster_label
navy,NOUN,4.57,-7.023278370237676,0.0,0,3
normally,ADV,4.57,-5.6893767373486,5.01,1,0
occurred,VERB,4.57,-5.9685921266480495,4.47,2,1
opposition,NOUN,4.57,-5.048491378778651,5.21,2,1
parent,NOUN,4.57,-4.530159193108911,5.21,2,1
permanent,NOUN,4.57,-4.449750597280618,0.0,3,1
personally,ADV,4.57,-5.093761500870608,0.0,2,1
pleasure,NOUN,4.57,-6.676405491120828,0.0,0,3
prefer,NOUN,4.57,-5.4444420080301725,0.0,1,0
programme,NOUN,4.57,-5.856395337530309,4.9,0,0
representative,NOUN,4.57,-5.136137294455948,4.52,3,1
scheme,NOUN,4.57,-6.279183953590002,9.6,0,3
shift,NOUN,4.57,-6.776490202513133,14.760000000000002,1,3
stood,NOUN,4.57,-5.312110049791688,4.53,1,0
storage,NOUN,4.57,-5.050262689933731,0.0,1,0
tank,NOUN,4.57,-6.480222137692296,15.29,1,3
tend,NOUN,4.57,-5.180390341258658,29.99,1,0
tight,NOUN,4.57,-6.548278264512394,77.84,1,4
transportation,NOUN,4.57,-5.024447241402039,0.0,2,1
ultimately,ADV,4.57,-4.958534900500914,0.0,2,1
weekly,ADJ,4.57,-5.820001733648903,0.0,0,0
yard,NOUN,4.57,-5.734821231490495,19.81,1,0
anybody,NOUN,4.56,-5.706568351610328,0.0,1,0
assets,NOUN,4.56,-5.655000881952075,0.0,1,0
basketball,NOUN,4.56,-5.725500615377385,0.0,1,0
button,NOUN,4.56,-4.441913378789038,0.0,1,0
candidates,NOUN,4.56,-5.331843126773205,4.66,2,1
combat,NOUN,4.56,-5.528770064714658,0.0,1,0
constitution,NOUN,4.56,-4.843195168571837,0.0,3,1
consumer,NOUN,4.56,-4.901274291069272,0.0,1,0
counter,NOUN,4.56,-5.338042046671341,10.02,0,0
creation,NOUN,4.56,-4.739924039799622,0.0,1,0
crown,NOUN,4.56,-6.284167201616635,9.71,0,3
crying,VERB,4.56,-5.237779336715874,5.47,0,0
defined,VERB,4.56,-5.541357549576703,9.43,1,0
depending,VERB,4.56,-4.960082398736431,0.0,0,0
depression,NOUN,4.56,-4.859457457362812,0.0,1,0
describe,NOUN,4.56,-5.418378745658901,5.0,2,1
drivers,NOUN,4.56,-6.040012140700036,4.75,1,0
el,NOUN,4.56,-5.932829668223626,99.63,0,4
employment,NOUN,4.56,-5.011457131712295,0.0,3,1
exclusive,ADJ,4.56,-5.567075629123119,0.0,2,1
excuse,NOUN,4.56,-5.560833442538314,0.0,2,1
expert,NOUN,4.56,-5.615609522556226,4.52,2,1
frequently,ADV,4.56,-5.368724809498176,0.0,2,1
golf,NOUN,4.56,-7.382779490284745,0.0,1,3
grace,NOUN,4.56,-5.582182731901693,20.24,1,0
hopefully,ADV,4.56,-5.356075725024667,0.0,1,0
identify,VERB,4.56,-5.376611936438531,4.63,1,0
importance,NOUN,4.56,-4.911059678755527,5.44,2,1
laid,NOUN,4.56,-6.294197991964856,64.77,1,4
latter,NOUN,4.56,-5.596580555423046,15.82,0,0
manufacturing,NOUN,4.56,-5.570506739709318,0.0,1,0
mining,NOUN,4.56,-5.173835043534634,4.87,0,0
object,NOUN,4.56,-5.916568599773976,4.51,1,0
partners,NOUN,4.56,-5.813746905419087,4.84,2,1
pattern,NOUN,4.56,-5.896045282344547,0.0,0,0
performing,VERB,4.56,-5.345545251711077,0.0,0,0
personnel,NOUN,4.56,-4.962446739428964,0.0,1,0
perspective,NOUN,4.56,-5.503832220467735,0.0,1,0
pregnant,NOUN,4.56,-4.853698214175578,0.0,2,1
premier,NOUN,4.56,-5.412030445724898,0.0,0,0
promote,NOUN,4.56,-5.348430305198009,0.0,2,1
q,NOUN,4.56,-6.0720630758881216,19.65,0,3
revolution,NOUN,4.56,-4.87677682996545,4.59,2,1
rooms,NOUN,4.56,-6.694629740811489,10.45,1,3
severe,ADJ,4.56,-5.894069269903628,0.0,1,0
sleeping,VERB,4.56,-5.204929032306411,0.0,0,0
suppose,NOUN,4.56,-5.886214837588929,4.91,2,1
tool,NOUN,4.56,-7.161293606867081,34.19,0,3
tournament,NOUN,4.56,-4.892219125577456,0.0,3,1
turkey,NOUN,4.56,-5.88147715198478,0.0,0,0
victim,NOUN,4.56,-5.207988664636771,4.56,1,0
victims,NOUN,4.56,-5.352572938888595,4.56,2,1
agents,NOUN,4.55,-4.683013896562298,4.81,2,1
amazon,NOUN,4.55,-5.840502946994127,0.0,1,0
arrest,NOUN,4.55,-5.0826916031200975,30.65,1,0
attend,NOUN,4.55,-5.097098821183052,4.57,2,1
ban,NOUN,4.55,-5.422237948467514,64.84,0,4
brilliant,NOUN,4.55,-4.77979742014935,0.0,2,1
