word,spoken_frequency_zipf,mixture_phonotactic_probability,mixture_competition_risk,mixture_phonetic_instability,prob_strong_form
under,5.73,-5.7449450386973355,4.93,0.0,1.0
during,5.72,-7.069046374233049,5.316666666666666,1.0,0.3333333333333333
again,5.7,-6.78557301100402,5.255,0.5,0.5
each,5.69,-8.181528412497078,24.72,0.0,1.0
without,5.69,-9.153806086215415,2.845,0.5,0.5
against,5.68,-5.991873587660642,2.84,0.5,0.5
until,5.61,-5.205896928602367,0.0,0.0,1.0
doing,5.6,-6.942394080079036,4.63,0.0,1.0
few,5.6,-7.181240712536823,21.84,0.0,1.0
having,5.59,-6.398681118362213,4.5,0.0,1.0
four,5.53,-6.100275419106483,89.35000000000001,0.0,1.0
once,5.53,-6.979478632825014,16.74,0.0,1.0
though,5.5,-11.610124768347347,75.85000000000001,0.0,1.0
d,5.46,-7.183284117883674,136.41000000000003,0.0,1.0
five,5.45,-7.9428875716217835,26.05,0.0,1.0
per,5.45,-7.633563241781631,20.05,0.0,1.0
within,5.44,-8.407368961555497,2.72,0.5,0.5
t,5.43,-6.9126793062500855,143.07000000000002,0.0,1.0
m,5.39,-6.486160788944089,75.52,0.0,1.0
along,5.38,-6.4336431590876915,5.81,0.0,1.0
either,5.33,-9.200603225101318,11.21,0.5,0.5
million,5.33,-5.9837751759664854,9.39,0.0,1.0
whether,5.32,-8.136296776159485,5.095000000000001,0.5,0.5
among,5.31,-6.743165235875723,0.0,0.0,1.0
further,5.31,-8.763391250147494,5.26,0.0,1.0
myself,5.31,-7.30012847478759,0.0,0.0,1.0
yourself,5.31,-7.1977519054985395,1.5933333333333333,1.6666666666666665,0.3333333333333333
although,5.3,-10.502045988172005,0.0,0.0,1.0
behind,5.29,-6.869403991901608,0.0,0.0,1.0
near,5.29,-6.7450247356613255,34.21,0.0,1.0
six,5.29,-6.027384455848037,25.31,0.0,1.0
across,5.25,-6.4351522383967215,5.0,0.0,1.0
himself,5.25,-7.059213115120287,0.0,0.0,1.0
outside,5.25,-6.757225199033861,0.0,0.0,1.0
re,5.23,-6.109067903349009,131.535,0.5,0.5
above,5.2,-7.114847650423208,0.0,0.0,1.0
won,5.2,-7.08287489028852,76.33,0.5,0.5
inside,5.19,-6.419506153071245,0.0,1.0,0.5
themselves,5.16,-7.534650221530393,2.58,0.5,0.5
whatever,5.14,-8.19052782748074,2.57,0.5,0.5
o,5.12,-10.0,76.28999999999999,0.0,1.0
upon,5.12,-6.248942777471594,0.0,0.0,1.0
itself,5.1,-5.979229171974107,0.0,0.0,1.0
seven,5.08,-5.84269819992471,9.3,0.0,1.0
whose,5.07,-7.901634957656771,48.63999999999999,0.0,1.0
below,5.05,-6.993280500434999,7.115,0.5,0.5
y,5.03,-7.1196174906793965,110.87,0.0,1.0
eight,5.02,-6.807470777825625,89.66,0.0,1.0
except,5.02,-6.217692243771817,4.85,0.0,1.0
via,5.02,-7.754877587278684,7.395,0.5,0.5
despite,5.0,-6.341058576314194,0.0,0.0,1.0
throughout,4.99,-9.03850481714929,0.0,0.0,1.0
beyond,4.98,-8.085963413473547,3.19,1.0,0.3333333333333333
unless,4.98,-5.837209973589653,0.0,0.0,1.0
plus,4.95,-6.768142109061635,5.71,0.0,1.0
nine,4.87,-7.246939762781583,52.17,0.0,1.0
whom,4.85,-7.966574010658242,28.72,0.0,1.0
herself,4.78,-6.8751497677718945,5.31,0.0,1.0
nor,4.78,-6.339294831868748,57.87,0.0,1.0
neither,4.77,-8.637453310131312,5.05,0.5,0.5
onto,4.77,-6.9126350028253345,2.385,0.5,0.5
billion,4.75,-6.088731427671928,5.33,0.0,1.0
yours,4.75,-7.090837384381287,14.366666666666667,1.0,0.3333333333333333
toward,4.72,-6.191058505896387,12.39,1.0,0.5
besides,4.63,-7.231376217207207,2.315,0.5,0.5
ma,4.63,-6.28305950080409,51.980000000000004,0.0,1.0
ourselves,4.62,-6.958228462711252,0.0,1.0,0.5
don,4.6,-6.2869147425542025,38.089999999999996,0.0,1.0
unlike,4.57,-6.366629461127516,0.0,0.0,1.0
